dataset,datasetTitle,publisher,themes
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-3881-ilosc-wnioskow-o-dostep-do-informacji-publicznej-w,Ilość wniosków o dostęp do informacji publicznej w gminie Nowa Wieś Lęborska wg lat,"https://dane.gov.pl/pl/institution/439,urzad-gminy-w-nowej-wsi-leborskiej",http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/expenditure-over-25k-jan-22,Expenditure Over 25k - Jan-22,nodeID://b2832808163,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/lfkffxhlmsxfkjjrtxmyg,Population in private households by migration status and degree of urbanisation (2014),http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-data-gov-lt-datasets-2874-~~1,Excise goods detention data,nodeID://b5429733515,http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/e2dtqx84zuews1lglasrw,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O (2018)",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/jp7z7shhr59xghzpt8u1a,"Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/3315b3af-61ed-4f88-b33c-8fea968c9339,Belgian registry of primary immunodeficiencies,http://data.gov.be/.well-known/genid/bf251f478eda464391ef31b166a62dbf2-b2125,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/warwickshire-pupils-with-sen-status,Pupils with SEN status,nodeID://b686704443,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://data.europa.eu/88u/dataset/further-education-and-skills-statistical-first-release,Further Education and Skills Statistical First Release,nodeID://b693943174,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://data.europa.eu/88u/dataset/uoaypjcka5okp2d87udula,Passengers embarked and disembarked in all ports by direction - annual data,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/TRAN
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-9900-ceny-ofertowe-mieszkan-dewelopera-tbv-development-sp-z-oo-w-2025-r,Offer prices of apartments of developer TBV Development Sp. z o.o. in 2025.,"https://dane.gov.pl/pl/institution/2342,tbv-development-spolka-z-ograniczona-odpowiedzialn",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-monitor-statnipokladna-gov-cz-api-opendata-monitor-priloha-2020_09_data_csuis_pril,Notes to Financial Statements - period 09/2020,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/00006947,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/GOVE
